Name                       Version                         Rev    Tracking         Publisher               Notes
alacritty                  0.16.1                          150    latest/stable    snapcrafters*           classic
bare                       1.0                             5      latest/stable    canonical**             base
color-picker               1.0.4                           26     latest/stable    keshavnrj*              -
core18                     20251029                        2976   latest/stable    canonical**             base
core20                     20250822                        2682   latest/stable    canonical**             base
core22                     20251009                        2163   latest/stable    canonical**             base
core24                     20251001                        1225   latest/stable    canonical**             base
discord                    0.0.116                         261    latest/stable    snapcrafters*           -
figma-linux                0.11.4                          197    latest/stable    youdonthavepermissiony  -
firefox                    145.0.1-1                       7355   latest/stable/…  mozilla**               -
firmware-updater           0+git.0052f6b                   210    1/stable/…       canonical**             -
gnome-3-28-1804            3.28.0-19-g98f9e67.98f9e67      198    latest/stable    canonical**             -
gnome-3-38-2004            0+git.efb213a                   143    latest/stable    canonical**             -
gnome-42-2204              0+git.837775c-sdk0+git.7b07595  226    latest/stable/…  canonical**             -
gnome-46-2404              0+git.4ca00c0-sdk0+git.df43897  125    latest/stable    canonical**             -
gtk-common-themes          0.1-81-g442e511                 1535   latest/stable/…  canonical**             -
kf6-core24                 6.9.1-6.14.0-6.3.5-25.04.2      34     latest/stable    kde**                   -
lxqt-support               2025-10                         7      latest/stable    kyuyrii                 -
mailspring                 1.16.0                          550    latest/stable    foundry376**            -
mesa-2404                  25.0.7-snap211                  1165   latest/stable    canonical**             -
obsidian                   1.10.6                          53     latest/stable    obsidianmd              classic
plexmediaserver            1.42.2.10156-f737b826c          504    latest/stable    plexinc**               -
qt5-core20                 20.04                           24     latest/stable    keshavnrj*              -
slack                      4.46.99                         216    latest/stable    slack**                 -
snap-store                 0+git.90575829                  1270   2/stable/…       canonical**             -
snapd                      2.72                            25577  latest/stable    canonical**             snapd
snapd-desktop-integration  0.9                             315    latest/stable/…  canonical**             -
spotify                    1.2.74.477.g3be53afe            89     latest/stable    spotify**               -
sublime-text               4200                            217    latest/stable    snapcrafters*           classic
thunderbird                140.5.0esr-2                    877    latest/stable    canonical**             -
tree                       2.1.3+pkg-5852                  54     latest/stable    brlin                   -
